"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R17","RES_0402_HIGH","14.5mm","9mm","14.5mm","9mm","14.5mm","9.45mm","T","270.00","10k"
"R18","RES_0402_HIGH","14.5mm","13mm","14.5mm","13mm","14.5mm","13.45mm","T","270.00","10k"
"R19","RES_0402_HIGH","14.5mm","7mm","14.5mm","7mm","14.5mm","7.45mm","T","270.00","10k"
"R20","RES_0402_HIGH","14.5mm","11mm","14.5mm","11mm","14.5mm","11.45mm","T","270.00","10k"
"R21","RES_0402_HIGH","22mm","23mm","22mm","23mm","22mm","23.45mm","T","270.00","1k"
"R22","RES_0402_HIGH","22mm","21mm","22mm","21mm","22mm","20.55mm","T","90.00","10k"
"R23","RES_0402_HIGH","26mm","22mm","26mm","22mm","26mm","22.45mm","T","270.00","10k"
"R24","RES_0402_HIGH","15mm","23.5mm","15mm","23.5mm","15mm","23.95mm","T","270.00","1M"
"U1","MAX98357AETE+T","28.75mm","23.25mm","28.75mm","23.25mm","27.325mm","24mm","T","360.00","MAX98357AETE+T"
"U2","TXB0101DCKR","17mm","16.5mm","17mm","16.5mm","16.35mm","15.4mm","T","90.00","TXB0101DCKR"
"U3","ESP32-PICO-D4","6mm","24mm","6mm","24mm","3.25mm","20.6mm","T","90.00","ESP32-PICO-D4"
"U4","TPS62082","24.3mm","16mm","24.3mm","16mm","25.25mm","15.25mm","T","180.00","TPS62082"
"U5","MCP73831","18.5mm","9.5mm","18.5mm","9.5mm","17.55mm","8.125mm","T","90.00","MCP73832"
"U6","FP6291LR-G1","29.5mm","15.5mm","29.5mm","15.5mm","30.9mm","14.55mm","T","180.00","FP6291LR-G1"
"U7","BH1721FVC","24mm","22mm","24mm","22mm","24.75mm","21.5mm","T","180.00","BH1721FVC"
"P1","DM3CS-SF","24.85mm","33.625mm","18.5mm","30.5mm","18.5mm","30.5mm","T","270.00","DM3CS-SF"

